label,child talk,parent talk
question,,this one
command,,i want you to give me more short ones
negative_talk,,stop coloring on the walls
question,house house want a house like that,you want to play with legos do not you
behavior_description,,you 're stacking the blocks high
labelled_praise,,you have great ideas for your building
negative_talk,,do n't you dare
unlabelled_praise,,love it
neutral_talk,,i like the yellow haired doll
neutral_talk,one of these,anything
command,,hand me the block
negative_talk,,not so fast
reflection,donut,the donut
neutral_talk,,i am building a tower
neutral_talk,,here s another cup
reflection,i make the baby feel better,you did make the baby feel better
question,,can i help you with that
behavior_description,,that 's a house you 're building
neutral_talk,,ok
negative_talk,,it 's not color
labelled_praise,can we go now,you are waiting so patiently and nice thanks so much
neutral_talk,,i am excited that we are going to lunch after this
neutral_talk,look at dat,i wonder where the other piece is
negative_talk,i do n't like lasagna,you do like lasagna
reflection,i like coloring,you like coloring
behavior_description,,you are coloring the sun
reflection,i can build a rocket,a rocket
negative_talk,i want lots of balloons at my party,you want lots of balloons because you 're a troublemaker
unlabelled_praise,,great
question,fish,do you like this
labelled_praise,,i like your drawing
negative_talk,,quit screaming
negative_talk,throwing train off of track on to the floor,do n't do that
neutral_talk,was i supposed to put this here,it 's interesting
behavior_description,,you 're playing with the animals
labelled_praise,,thank you for cleaning
labelled_praise,draws a picture of a butterfly,that 's a pretty butterfly
behavior_description,,you 're walking over to get the trains
command,,will you give me the car
command,,can you reach that green one over there
reflection,i fixed it,yep you fixed it
neutral_talk,,i 'll be
behavior_description,,oh
reflection,daddy does n't like remy,your father does n't like our cat
behavior_description,,you put the white one on top
command,,color the bird
behavior_description,,you made a (using playdoh)
command,,use your big girl voice
question,,do you want to dance
command,building a tower,please put the block in my hand
reflection,i'm going to build a house,a house cool
behavior_description,,putting more blocks on the tower
neutral_talk,,you are pretending
behavior_description,,you 're drawing the tree
neutral_talk,i made a,he s walking around the table
unlabelled_praise,,wonderful
negative_talk,,i do n't want to eat that
neutral_talk,may i eat that candy,you may have the candy
command,,it goes on there like this
neutral_talk,,"here , give me the moustache"
question,,can you wear blue jeans to the class party
question,i just found them,you just found them
neutral_talk,here yours,cows cannot fly
neutral_talk,i need soda too,i need some soda on my flat bed
behavior_description,theres just dollars in there,drew a heart
reflection,i'm hungry,you 're hungry
negative_talk,,not that way
reflection,you re so funny,you think i m funny
neutral_talk,,your brother would like this game
labelled_praise,,terrific butterfly
negative_talk,,you put that on wrong
reflection,i drew a space ship,super you drew a space ship
question,this two kids are fighting,what are they fighting about
behavior_description,,you 're singing a song
negative_talk,,you 're doing it the wrong way
reflection,i'm making a space ship,that is a space ship
neutral_talk,i want to go swimming,i hope it does n't rain
labelled_praise,,great job putting that away
neutral_talk,"no , i can t","yeah , i think so"
question,,what kind of sound does a cow make
reflection,i have a dog,you do have a dog
neutral_talk,,we can share
command,,let 's play trains
unlabelled_praise,"baby , mommy , and daddy",good job
neutral_talk,,that ll go right there beside it
reflection,not now,not now
question,,are you done
labelled_praise,,your coloring is beautiful
labelled_praise,,thank you for sharing the legos
behavior_description,,you put the car down
behavior_description,,you got a horse
neutral_talk,,it kinda looks like a rocket
unlabelled_praise,,you 're fun
labelled_praise,he he ate all the vegetables,awesome job cleaning up
behavior_description,,you 're being loud
reflection,i drew a sun and and house,you drew a sun and a house
labelled_praise,child brings up a toy closer to caregiver,thank you for bringing it over
neutral_talk,yeah,those blocks are on the floor
command,,pick up the top of the box and put it on
behavior_description,mmm hmm,we are gonna just keep playing
negative_talk,i want to ask you something,i'm not surprised
question,,are you finished
neutral_talk,,it makes your teacher happy when you sit quietly while you work at school
command,,do you want to color with me
unlabelled_praise,,great tower
labelled_praise,,you 're trying hard
unlabelled_praise,,you re right
neutral_talk,,i know how to do this
negative_talk,,it does n't go that you
command,,can you put on your shoes
unlabelled_praise,,good job buddy
question,,you want the fun part
neutral_talk,why,i asked you to
neutral_talk,,i think your dad is standing in the hall
negative_talk,child builds a toy gun and pretends to shoot,stop that now that is not how we play
labelled_praise,,thank you for that piece
question,,what are you doing
neutral_talk,,and so i need one more to make eight
behavior_description,,you 're coloring in the sun
behavior_description,kay,you 're playing with a big car
question,,do you want to color
neutral_talk,inaudible,"oh , and i found another cupcake"
reflection,i want the blue block,blue
question,,where did you put it
labelled_praise,,you made a nice fort and it has a great roof
neutral_talk,,i 'll move this out of your way
behavior_description,child is playing with food toys,you made breakfast for us
command,,hand me the blue car
neutral_talk,,now she can see
labelled_praise,,you 're doing a good job coloring
behavior_description,,you are lining up all the toys
neutral_talk,,it 's my turn to choose the game
neutral_talk,,bye
neutral_talk,that s pizza dough,here s a plate for the donut
command,,clean up
reflection,i made a tower,you did make a tower
behavior_description,,you colored it yellow
question,let s do it,how come the baby is in the middle
command,nothing here,be courteous
reflection,i 'll be spider man,spider man
negative_talk,,you 're acting like a spoiled brat
reflection,the mystery bandit is going to get us,the mystery bandit is going to get us
neutral_talk,,there are a lot of toys here
behavior_description,im doing harry potter,we are building a house for the princess
question,yeah,where
question,let 's jump off the house,do you think that is safe
reflection,i'm building a high tower,you 're building a high tower
question,,are you three
behavior_description,,putting on the blue circle
neutral_talk,,iron man is my favorite
neutral_talk,this is going to be the tallest tower in the world,this is going to be a really tall tower
negative_talk,,do n't be bad
question,the firefighter,oh
question,laughs where s another one,where s another one
question,a little chair is in there,chair
neutral_talk,,oh the car is so fast
behavior_description,,you stacked the gears on top of the green pad
question,,this is fun is n't it
behavior_description,,you put an arm on your potato head
neutral_talk,ok so that 's how it goes,it looks pretty easy
behavior_description,,and you re putting yours down and i m putting mine down
labelled_praise,yeah,i love how you 're playing nicely with the legos
command,,would you please put all the toys away
behavior_description,,you handed me the block
negative_talk,,i do n't like the way you are acting
labelled_praise,is this where the green piece goes,yeah that is good
negative_talk,,i do n't like how you are playing with the toys
command,,no put them in here
neutral_talk,,this road we 're building is pretty long
labelled_praise,,thank you for helping find another one
reflection,this piece do n't fit,this piece does n't fit even after trying all the places
neutral_talk,i have the cars,you have the cars
neutral_talk,,as long as you do n't act sassy today i 'll take you to mcdonald 's on the way home
reflection,and some green beans,and some green beans
labelled_praise,,that was a nice way of asking me
neutral_talk,,the boat has a smokestack and four portholes
reflection,cows go moo,cows go moo especially when they want to be milked
negative_talk,,this is mine not yours
neutral_talk,is this red or orange,it 's either red or orange
unlabelled_praise,,thank you
behavior_description,,you are playing calmly with the toys
labelled_praise,,"we do like to eat pizza dough , don t we"
neutral_talk,,oh
neutral_talk,yeah,ok
question,,when is it
neutral_talk,,here is a red block
question,,should we do green next
negative_talk,,that was n't very nice
negative_talk,,stop taking my blocks
command,,can you draw me a flower
command,,if you do n't put the cars away now i will not let you play with nintendo today
command,,i think you should use some of those
question,,do you want to play with the blocks
question,yep,yeah
labelled_praise,,i like how you made your potato head
reflection,the teacher is going to take us to the zoo,oh you 're going to the zoo
question,,can i play with these blocks
command,yeah it turned into the plane thats what i was talking about,you are going to tie your shoe before you trip
command,uhhuh,why do not use the larger wheel in the front
reflection,(while pretending with toy animals) we have an emergency the doggy is running away and going in the street,the dog is headed to the street
behavior_description,,you 're putting the toys up
reflection,i like to come here,you like to come here and play
question,,are you making a house
neutral_talk,,you used the green sticks last time
negative_talk,,it 's not very good
command,,why do n't you sit down
neutral_talk,,i want to draw with you
unlabelled_praise,,cool tower
labelled_praise,,your grandmother loves to see you share like this
reflection,it s the green one,the green one
unlabelled_praise,,it 's terrific
labelled_praise,,incredible sorting
question,,are you okay
behavior_description,,you are driving the green car
negative_talk,,dogs do n't have ears like that
negative_talk,,you are not playing nicely
neutral_talk,,purple is my favorite color
neutral_talk,,oh
reflection,let 's build an airport,you would like to build an airport
command,,can you make a circle here
question,,what do you think
question,,can i have a turn
unlabelled_praise,,fantastic
neutral_talk,,you ll be able to
command,,the whole family needs to work on this
neutral_talk,,here s a flipper
behavior_description,,you 're pushing the train
labelled_praise,,good work laying it out
question,,what can i do
command,,can you hand me the red car
reflection,,the park
negative_talk,,hey stop that
labelled_praise,,you 're good at helping put things away
negative_talk,,you have to put you don t have to put the bread in there
negative_talk,,quit running around
behavior_description,,you are feeding the baby
reflection,here 's ernie he 's fixing the car,he 's working on the car
question,,are you trying to decide what to do
command,where does this go,put it on top
question,,is there a carwash
neutral_talk,child laughs,you think that 's funny
command,,would you please clean up
behavior_description,,you made me an egg sandwich
question,is it high enough,is it enough
neutral_talk,i put it here,it goes over here
behavior_description,,you 're drawing a tree putting on bark
behavior_description,,you 're feeling the kitty 's soft fur
command,,i want you to put them away
command,,hand me the toy
behavior_description,,that teddy they have is one of your favorite toys here
reflection,that man is feeding the chickens,the farmer is feeding the chickens
unlabelled_praise,,high five
command,,please put the crayons back
neutral_talk,look at this wheel,oh
labelled_praise,,you 're being a good listener today
command,,get down from there
question,"actually , this is the baby that has lipstick on",that baby has lipstick
question,,what s its name
command,,let 's build a tower and
behavior_description,here,you are cutting apples for me
reflection,"it s the parking lot , so he goes first",he goes first
behavior_description,,looks like a boat your making with the play dough
negative_talk,,you 're not doing it right that wo n't work
labelled_praise,,i like how quickly you picked up
question,just keep trying,just keep trying
labelled_praise,i'm finished,you did a great job
command,,stop hitting
behavior_description,,you 're making that tower tall
question,,how was school today
question,there s one on the floor,there s one on the floor
behavior_description,,"oh , you put them in there because that one was too loose"
neutral_talk,,those are angry eyes on potato head
command,,will you pick up the toys
question,,you 're building a house right
behavior_description,but draw the rest of clifford first,you 're making a house
command,,can you put that away
neutral_talk,i'm mad at you,i'm sorry that you 're mad at me
command,i ca n't do it,you should put the block there
neutral_talk,and drink,"ah , i m coming to the picnic"
labelled_praise,,you 're so smart counting all of those animals
behavior_description,,you 're pretending to be a doctor now
neutral_talk,,i like that white one
question,you can do something,i can do something
question,french fries,is that a french fry flavored one
command,,put this one here
labelled_praise,,thanks for using your manners
behavior_description,,you are putting green food on the green plate
question,adam locomotive,that is a red one right
neutral_talk,,there s a strawberry in this pot
behavior_description,,you are drawing
behavior_description,,you are making the tower taller
command,,put that lego over here
negative_talk,,do you want to go to time out
reflection,i like ice cream,you like ice cream
neutral_talk,,there is a banana on your plate
labelled_praise,,you 're working hard to build that
reflection,i'm gonna race these guys,you are going to race your cars
negative_talk,child knocks over blocks on purpose,you destroy things at home like that all the time
labelled_praise,,you 're working really hard on drawing the pirate
unlabelled_praise,,good minding
reflection,my tower is higher,i see your tower it is a lot higher
labelled_praise,,you have a great memory for knowing it 's your cousin 's birthday today
question,,these are cool are n't they
question,,do you think all them blocks will fill up this box
neutral_talk,i want to play with the babies,the babies are over there
command,,play nicely ok
question,,can you pick up the toys with me
labelled_praise,,you 're a great artist
neutral_talk,,now
neutral_talk,,i am going to move the toys closer so we can share them
behavior_description,cause i go inside,you 're looking for a hat for mr potato head
labelled_praise,,you are good at this game
negative_talk,,no we 're not doing that
unlabelled_praise,,big boy
command,,draw it like this
command,,start here
reflection,this truck is fast,it is fast
unlabelled_praise,,awesome
behavior_description,,i see you are drawing a big bird
negative_talk,,that 's not quite right sweetie
reflection,which car is fastest,you want to know which is fastest
labelled_praise,,you drew a beautiful horse
negative_talk,,i never taught you to talk like that
command,,will you take off her red hat and put on her black hat
labelled_praise,,you 're a pretty smart cookie
labelled_praise,,i like the way you made that house
reflection,this car is red,red
unlabelled_praise,,good catch
command,for the baby,turn the dial alright
reflection,the car is blue,you have a blue car
command,,play nicely
question,,can i get another one
neutral_talk,,i'm sorry
reflection,no because the cars are going to eat it,the cars are going to eat it
neutral_talk,,that 's a lot of blocks
question,i want to color,do you want the blue crayon or the yellow crayon
command,,give me the block
behavior_description,,you found a fireman hat
behavior_description,,youre going to school
command,,make the tower taller
labelled_praise,,i like the picture you drew
neutral_talk,,you 're feeling pleased with yourself
neutral_talk,,you know all your letters
command,,i want you to add another block
neutral_talk,i do n't wanna,after we play we can go out for ice cream playing is fun blocks coloring play doh cars are fun
command,,come on and help me build
neutral_talk,,"yeah , i don t think that one has a splint"
neutral_talk,i need to use the potty,ok i 'll take you to the potty
command,,so you need to be careful
reflection,mr potato head is funny,he is funny
labelled_praise,,awesome job keeping your hands to yourself
behavior_description,,that 's a tall tower you made
command,,please hand me a purple marker
command,,let 's sing a song
command,,wait for me
negative_talk,,do you really need to act like that
reflection,team work,team work
question,,do you want to build a house
unlabelled_praise,,great
neutral_talk,i want to build another tower,then you need more blocks
labelled_praise,look how silly i made my potato head,i love your silly potato head
labelled_praise,,i like how you kept trying
reflection,i am going to build a bridge,you have decided to build a bridge
behavior_description,,you are singing
negative_talk,,this pen does n't work worth a
reflection,this is a green leaf,it is a green leaf
unlabelled_praise,,that was neat
command,,press the button like this
reflection,the cow says moo,cows do say moo
behavior_description,coloring,you colored that purple
reflection,he has crazy hair,yes crazy hair
command,,roll it out
neutral_talk,,gesundheit
command,,stop that now
command,,did you hear me
labelled_praise,,wow that building is tall
behavior_description,,you are putting the blue block on the red block
neutral_talk,,the pieces fit together like this
labelled_praise,,you drew a pretty flower
neutral_talk,this present is for koala,i ca n't find mr potato head
reflection,mommy look at the tower i made,you want me to look at your tower
question,,where do you want me to put the yellow playdough
negative_talk,,i do n't like it
command,and another donut,"oh , oh wait"
command,,watch me move my train
negative_talk,,stop throwing the crayons
reflection,i did it by myself,you put on that roof all by yourself
neutral_talk,,if you do n't stop running around at school i 'll take away tv for a week
negative_talk,,do n't put the potato head 's eyes there
behavior_description,,you 're sharing
negative_talk,i'm going to stand on the chair,i do n't think you should stand on that
behavior_description,,you made two stars
command,,we 're gonna play with this one now
neutral_talk,,that 's one fast train
behavior_description,,you are putting away the blocks
question,,are you taking the baby 's temperature
command,nope no way,hey
neutral_talk,why d you mess,well i had to mess up my food
reflection,i'm going to play with the,you 've chosen the
command,,you might put the coins in the slot
labelled_praise,,i'm proud of you for sharing with me
question,,is he the bad guy
reflection,i want red,you want red again
labelled_praise,i'm cleaning up fast,i'm happy you 're so fast
command,i want that baby truck,oh let s get the blue one out here
command,,"well , we ll have to wait until we get up for that , okay"
neutral_talk,the doggy went to teh house to get his mother but his dad came out,that is a good daddy
labelled_praise,,that is beautiful
question,,but what 's this part
behavior_description,child is lining blocks,you lined up the blocks
neutral_talk,,this dollhouse is attractive
neutral_talk,,ok
labelled_praise,,good job coloring inside the lines
negative_talk,yep,"well , but then i don t have a pink plate"
behavior_description,,"oh , you found a nose and a moustache"
labelled_praise,,you 're such a good builder
labelled_praise,,i like how gentle you are being with all of the toys
negative_talk,,do n't talk so loudly
reflection,i'm going to make a cake,you 're making a cake
negative_talk,this is red,that is not red
negative_talk,kid makes a doll use the toilet,you 're gross
negative_talk,,we do n't hit
behavior_description,okay,that 's a green apple you are drawing
negative_talk,,quit throwing the blocks
command,,will you give me a crayon please
reflection,i lost a lego at school,you lost a lego at school
question,,what do you want to play
command,,will you hand me the blue block
neutral_talk,,hmm
neutral_talk,,i am going to make a pancake
command,,you' re going to pick them up if they fall
labelled_praise,,well done for putting them away
neutral_talk,really soon,mmm
reflection,now all of this is gone,"oh , that disappeared"
negative_talk,,do n't be like that
reflection,the dog is cute,the dog is cute
behavior_description,,you put the lion in the house
neutral_talk,it s really hard,yeah
labelled_praise,,you are really good at this
neutral_talk,she threw up today,you know your numbers
labelled_praise,,awesome choice to start with legos
neutral_talk,,i wonder how it goes on
neutral_talk,boing,uh oh
neutral_talk,,one more hole
question,,do you like mr
question,,do you want to help me clean up
question,,can you hand me the marker
neutral_talk,,i found the missing piece
behavior_description,,you are building a tall tower
labelled_praise,,i love your drawings
labelled_praise,,i love how you put the train track together by yourself
neutral_talk,,there are four green crayons
neutral_talk,i ll put some spices for my food,ok
behavior_description,that look like a porch,you are looking at the picture book
negative_talk,,that does n't belong there
command,,we must put the roof on
question,,are you using blue now
labelled_praise,,that s pretty awesome
labelled_praise,i made a flower,you did such a great job of drawing that flower it is beautiful
command,,look here
neutral_talk,,i 'd like to comb your hair
unlabelled_praise,,cool idea
reflection,(child pretends to eat cake) munch munch,munch munch munch
reflection,i like,you like
reflection,i like special time,you like special time
reflection,he sees the house is on fire,the house is on fire
neutral_talk,i put her red dress on her,oh the red dress
question,,that better
negative_talk,,come on really
neutral_talk,,i think those are peas
question,,which one do you want to play with
reflection,this one is nemo,yes it is nemo
neutral_talk,eat that spicy things,"you have spicy french fries , and you have spicy pizza , and"
command,we live in em and watch the show,you have got to
behavior_description,(child stacking blocks),you 're stacking blocks
labelled_praise,,good job staying in your chair
neutral_talk,why,it looks like a flower
command,ill be right back,can you
neutral_talk,,hmmmm
negative_talk,,that 's not how it goes
command,,do n't open the other container
question,,what s your favorite color henry
labelled_praise,,i love how safe you are being
negative_talk,,you 're not very good at building
reflection,this is the mommy doll,that is the mommy
negative_talk,,not like that
question,,do you want this
behavior_description,,you are flying the plane
question,,that 's a red one right
neutral_talk,,another hat
command,,will you tell me what time it is
command,,you did a good job and now you can play cars
reflection,i found a green,a green
reflection,do n't look at me,ok i wo n't look at you
neutral_talk,,you made it go down the ramp last time
neutral_talk,up,you have the blue crayon
question,,what were you making
reflection,i made mr potato head,you did make mr potato head
reflection,that grass is going to be green,green
reflection,i drew a dog,you drew a dog with big ears
labelled_praise,,nice job cutting safely with the scissors
negative_talk,sissy 's a show off,that 's not nice to say
behavior_description,,you found the horse
command,,give that back
neutral_talk,but we need a lot more tea pots,i ve got a little pink tea cup
labelled_praise,,high five for knowing your numbers
labelled_praise,,you made me a delicious cake
command,,we 're going to play with this toy now
question,,"well , that s a whole box of trucks , isn t it"
negative_talk,,that was a stupid thing to do
question,,what should we do next
neutral_talk,,i need to pull up my chair
question,,you 're driving to the store
command,,look
command,,look at this one
behavior_description,,you added a tile
unlabelled_praise,,great helping
command,,please clean these toys up
question,,how many blocks are here
neutral_talk,,the tinker toys should be picked up now
command,,i 'd like you to finish the picture
neutral_talk,,your car is so much faster than mine
reflection,she goes in there,in there
neutral_talk,,that s right
command,,be careful
behavior_description,,you figured out how to put those pieces together
neutral_talk,potato head,that s our third mr
neutral_talk,the tank is,i think we just have an ambulance
question,whose turn is it,whose turn is it
labelled_praise,,thank you for making me this beautiful picture
negative_talk,yeah its better,your tower is going to crooked
reflection,with syrup on it,syrup
command,,put the red block on the blue block
neutral_talk,look mom an elephant,elephants can grow to be very tall and big
negative_talk,the child says he 's done playing,that 's it
behavior_description,,you put him to toilet
neutral_talk,i'm drawing the sun,there are lots of things in the sky
command,,i want you to sit over here by me
labelled_praise,,thank you for giving me the donut
behavior_description,,you are fixing the plane
negative_talk,,you 're not being very nice right now
labelled_praise,,that was a great idea to put the block there
negative_talk,,quit throwing the toys
question,,do you got some do you see some long ones like this it s got 1 2 3 4
negative_talk,,do n't go in my purse
negative_talk,,no this crayon is blue
labelled_praise,,i like how you put them all that way
reflection,that 's a funny clown,you think he 's funny
labelled_praise,,thank you for the block
neutral_talk,,but you got three
question,,can i try
question,,can i play with your car
labelled_praise,,you 're a fast writer
behavior_description,,you are looking for another piece
negative_talk,i do n't like this game,you do like this game
command,,put the blocks away before you play with something else
labelled_praise,,i love having special time with you
unlabelled_praise,,nice
reflection,this is a strawberry,oh a strawberry
behavior_description,,you 're making a sun with long rays on it
labelled_praise,,thank you for drawing me such a pretty flower
neutral_talk,,uh oh here comes some baby trucks
reflection,mine won,yours won
behavior_description,,you 're still working on that
command,,give me a block
neutral_talk,,i like this toy
question,,a silly one
reflection,yep,yeah
command,,will you settle down if i let you play with the tinker toys
command,,put this here
command,roof off,will you come over here
reflection,all these trucks get in a race,they re getting ready to race
question,,what are you doing with the toy
behavior_description,,you are adding a hat
command,,let me try
command,,we probably should put them in line
neutral_talk,,you 're so happy with your drawing
reflection,it 's a jeep,a jeep
negative_talk,,you are being a real pill right now
neutral_talk,,if you put your picture here i can see it better
command,,i need you to help me
behavior_description,,so you want to stay out there
question,i'm going to be an astronaut,an astronaut
unlabelled_praise,,very nice
command,,say two
command,,you must sit down
behavior_description,,you helped your brother
reflection,an apple flavored cupcake,an apple flavored cupcake
unlabelled_praise,,great idea
unlabelled_praise,my drawing is nice,it is
negative_talk,,make it neater
labelled_praise,,great job putting the container on the shelf
neutral_talk,,you have a horsey
negative_talk,,you are n't behaving
command,,please give me the car
behavior_description,playing with animals,you are making the whale swim by the shore
command,,can you hand me the red crayon
command,,look at what i found
question,,how come
behavior_description,,you opened the box of toys
question,,you 're doing right
behavior_description,,we 're getting this built
labelled_praise,,good job with those toys
reflection,,you like it
neutral_talk,,i know it 's your favorite color
neutral_talk,mhm,ooh
behavior_description,,you are coloring in the lines
question,,you really liked the circus right
labelled_praise,,i love you for staying at the table
neutral_talk,,i wonder if i left the iron on
question,,do you want to keep playing with this
negative_talk,,you 're not supposed to talk to me like that
negative_talk,,if you do n't stop running around i 'll spank you
labelled_praise,,thanks for listening to me
behavior_description,this is we can go around,mmm
behavior_description,,you 're pushing the car down the ramp
negative_talk,,i do n't give fuck
command,,put the coins in the slot
neutral_talk,can i play with these,you can play with those
question,,what feeling do you think she has
neutral_talk,,i wish they were bigger
negative_talk,,if you stop pinching we 'll have more time to play
behavior_description,,you are racing the cars fast
command,,please hurry
question,potatoes at my school,oh yeah
neutral_talk,,just kidding
behavior_description,,you 're counting
labelled_praise,,great job coloring that horse
behavior_description,opens play farm door,opened the door
question,,is that his left arm or his right arm
reflection,i love red and yellow and green and blue and purple,you love lots of colors
reflection,i putted the blue block on,you put on the blue block
question,,what sound is that the train
question,,when are you going to tell me about your day at school
negative_talk,,stop grabbing things
reflection,and that one,and that one
negative_talk,i have the blue block,no thats yellow
behavior_description,,you 're lining up lots of cards
behavior_description,,you said thank you
question,it didn t get none out,it didn t get any out
neutral_talk,what 's that,that 's an octopus (insert any animal or shape on a wide variety of coloring sheets)
negative_talk,i do n't want to,quit yelling
question,,what are you doing
neutral_talk,,the next word is stop
neutral_talk,,this is a chef
neutral_talk,,that car looks just like the one we have at home
labelled_praise,,you have a great imagination for storytelling
command,,can you pick those up
labelled_praise,child cooks with play food,you made a delicious dinner
behavior_description,,you 're changing
question,here 's the waffle blocks,would you like to build a house or a school
reflection,i love legos,you really do love legos
neutral_talk,ayla can see me,i don t think ayla s here anymore
neutral_talk,,i will take it out soon
command,,you should push the car slowly
reflection,we have all picnics have pizza in them,all picnics have pizza
neutral_talk,getting the playdough out,"oh , you got some playdough stuck in there"
question,five,five
negative_talk,,do n't climb on the table
behavior_description,,i see that you 're drawing a house
labelled_praise,,you have a great memory
question,,what are you drawing
labelled_praise,,good job sitting nicely
question,,do you want to clean up
reflection,and lot 's of sprinkles,sprinkles too
question,,where is your nose
reflection,ready set go,go
behavior_description,,you built the track so quickly
reflection,i'm cooking all of this food,you are making a lot of food
negative_talk,,you ca n't make me do it
neutral_talk,,i do n't know where this piece goes
labelled_praise,,i love how you 're using kind words
command,,look
command,,clean all of this up
behavior_description,,you 're coloring
reflection,we need french fries for that,we need french fries for that
question,,where did that puppy go
question,,do you know where the lion is
behavior_description,,you got the one you wanted
negative_talk,building a tower,that a ugly tower
labelled_praise,puts on mr potato head 's nose,good job putting the nose on
reflection,i big horse,i huge horse
question,,is it red
reflection,i'm making a boat and a jet ski,you 're making a boat
unlabelled_praise,,you did great
negative_talk,,if only you made it a little straighter
reflection,i'm putting blocks over here,you 're putting blue blocks over there
reflection,but we can still use it,mhmm
neutral_talk,,i like the spicy
negative_talk,,you 're not listening to me
behavior_description,,you 're not sure what to do
command,,give me the toy
command,and um and theyre drowning because the cats going in the hole,you must
command,,put the boy in the farm
negative_talk,,why would you do it like that
labelled_praise,,you really worked hard on that picture
neutral_talk,i don t need that,"no , you don t need that"
neutral_talk,,here 's another one
labelled_praise,,you 're acting nicely with the animals
behavior_description,,you chose blocks
reflection,(referring to clinician(s) leaving the room),you 're wondering where xxx went
labelled_praise,,i like how you are sharing the crayons with me
negative_talk,i could buy pizza,if you stop biting your nails they will be prettier
behavior_description,,you 're making very realistic car noises
neutral_talk,,i want that one
neutral_talk,,if you put it there i 'll put mine over here
reflection,it 's a space ship,oh it 's a space ship
labelled_praise,,good job figuring that out
neutral_talk,what 's that,that 's a castle
behavior_description,,you 're trying to fit it in
reflection,,you 're going to school
command,,you need to pick up these toys
labelled_praise,,you are doing a fantastic job keeping our personal space safe
behavior_description,,you 're making a car out of those legos
labelled_praise,,i love your house
neutral_talk,,it 's even taller this time
command,put it on the other plate,i guess you should
command,,will you start listening to mommy
negative_talk,,that 's not a good idea to put that on top it 'll fall
question,,is this my block
labelled_praise,,good thinking to sort them first
question,,are you making me a sandwich
unlabelled_praise,,i love this
unlabelled_praise,,good good
neutral_talk,,okay
neutral_talk,this is blue,this piece is yellow
neutral_talk,he s going to the carwash,oh
question,,where did you put that thing
reflection,i like school,you do like school
question,,do you want to play today
negative_talk,,that 's not a very good idea
neutral_talk,,ok
neutral_talk,,the crayons go in the box
command,,let 's play with the dolls
reflection,i'm a big boy,you are a big boy
labelled_praise,,great job using your words
command,no man a home man home,let us
command,i do n't want to clean up,clean up now all of it
behavior_description,,i see you put that on
behavior_description,i can watch how far i can throw,you throw very far
labelled_praise,,great job building the tower
reflection,this is red and this is orange,they are red and orange
command,this is the lellow' block,say yellow block
neutral_talk,,whoa
command,,make me a sandwich
behavior_description,,you handed me a yellow duck
neutral_talk,it makes for the bake,alright
command,,let 's make another rectangle
reflection,"no , i m gonna call this my phone","oh , that s your phone , alright"
labelled_praise,,thank you for sharing that with me
behavior_description,,you 're making it high
behavior_description,,you put the toy back where it goes
reflection,i wanna go home,i know you wanna go home
reflection,the pig is fat,the pig is fat
negative_talk,,you'r drawing is sloppy
labelled_praise,,i like how creative you are
command,,take this chalk and draw a circle
labelled_praise,,you are good at cutting bananas
neutral_talk,tickle like a lion,i would like to find it
negative_talk,,stop hammering on the mirror
labelled_praise,,i love when you talk in your inside voice
command,,do it this way
neutral_talk,,we might have to get another box to fit more trucks
command,,i 'd like you to take the square piece
reflection,where is the spiderman,you 're asking for spiderman
neutral_talk,,that 's exciting
reflection,telling a story about what happened over the weekend and then i fell out of the tree and i cried,you got hurt when you fell out of the tree
command,,let 's put the car here
command,,please hand me the yellow crayon
question,playing a farmer toy,oh who is that
neutral_talk,on satur saturday he ate through a a piece of pie,the car is moving
command,,you really must sit down
question,,what activity do you want to use
neutral_talk,,time 's up
behavior_description,,you wrote all the numbers up to ten
neutral_talk,i m gonna call this tea,"ok , that s a good idea"
labelled_praise,,thank you for coming to play with me
neutral_talk,they just have to be in here,okay
command,,how about putting the dolls away
question,,do you want to put the bird on the branch
reflection,i m like opening it right and close,you are opening and closing the gate
question,,do you need to use the bathroom
negative_talk,,you broke it
command,zzz,you could
labelled_praise,,you 're doing a good job cleaning up
behavior_description,,you closed the door
question,,this one is red right
neutral_talk,,the ponies are racing
neutral_talk,,the red one goes on the green
command,,give me your car
behavior_description,,you are making the car go so fast
behavior_description,,you made a flower
labelled_praise,,thank you for picking it up
command,,can this be put back in the box now
neutral_talk,,can you try that one
neutral_talk,,it 's almost the weekend
negative_talk,,do n't put that on the floor and get it dirty
reflection,a yellow hat,a yellow hat
command,,clean up clean up everybody everywhere clean up clean up everybody do your share
reflection,i like playing with these legos,you enjoy these legos
neutral_talk,,wow this is a really cool toy
labelled_praise,yeah,fabulous job dressing up the doll
labelled_praise,i wo n't do it again,i'm glad you understand
negative_talk,,do n't put that in your mouth that 's nasty
neutral_talk,this is the sleeping place,"oh , i see"
command,action child is throwing toys,let 's do something else
reflection,i found a green crayon,that is green
reflection,my car goes fast,your car goes very fast
reflection,"actually , this is the mommy and this is the baby and this is the daddy",it s just a whole family
question,,will it go in there somewhere
reflection,is it time to go,you 're wondering if it 's time to go
neutral_talk,,we have these at home
neutral_talk,,you have a cow
question,,what color are you going to use for the door
question,pull that,does
neutral_talk,,there are lots of blocks
negative_talk,,you drew an ugly flower and you put it on the wrong side
labelled_praise,,thanks for making that for me
reflection,i want a snack,you 're saying you want a snack
