Speaker,Utterance
parent,awesome job cleaning up
parent,you 're being loud
child,i drew a sun and and house
parent,you drew a sun and a house
child,child brings up a toy closer to caregiver
parent,thank you for bringing it over
child,yeah
parent,those blocks are on the floor
parent,pick up the top of the box and put it on
child,mmm hmm
parent,we are gonna just keep playing
child,i want to ask you something
parent,i'm not surprised
parent,are you finished
parent,it makes your teacher happy when you sit quietly while you work at school
parent,do you want to color with me
parent,great tower
parent,you 're trying hard
parent,you re right
parent,i know how to do this
parent,it does n't go that you
parent,can you put on your shoes
parent,good job buddy
parent,you want the fun part
child,why
parent,i asked you to
parent,i think your dad is standing in the hall
child,child builds a toy gun and pretends to shoot
parent,stop that now that is not how we play
parent,thank you for that piece
parent,what are you doing
parent,and so i need one more to make eight
parent,you 're coloring in the sun
child,kay
parent,you 're playing with a big car
parent,do you want to color
child,inaudible
parent,"oh , and i found another cupcake"
child,i want the blue block
parent,blue
parent,where did you put it
parent,you made a nice fort and it has a great roof
parent,i 'll move this out of your way
child,child is playing with food toys
parent,you made breakfast for us
parent,hand me the blue car
parent,now she can see
parent,you 're doing a good job coloring
parent,you are lining up all the toys
parent,it 's my turn to choose the game
parent,bye
child,that s pizza dough
parent,here s a plate for the donut
parent,clean up
child,i made a tower
parent,you did make a tower
parent,you colored it yellow
child,let s do it
parent,how come the baby is in the middle
child,nothing here
parent,be courteous
child,i 'll be spider man
parent,spider man
parent,you 're acting like a spoiled brat
child,the mystery bandit is going to get us
parent,the mystery bandit is going to get us
parent,there are a lot of toys here
child,im doing harry potter
parent,we are building a house for the princess
child,yeah
parent,where
child,let 's jump off the house
parent,do you think that is safe
child,i'm building a high tower
parent,you 're building a high tower
parent,are you three
parent,putting on the blue circle
parent,iron man is my favorite
child,this is going to be the tallest tower in the world
parent,this is going to be a really tall tower
parent,do n't be bad
child,the firefighter
parent,oh
child,laughs where s another one
parent,where s another one
child,a little chair is in there
parent,chair
parent,oh the car is so fast
parent,you stacked the gears on top of the green pad
parent,this is fun is n't it
parent,you put an arm on your potato head
child,ok so that 's how it goes
parent,it looks pretty easy
parent,and you re putting yours down and i m putting mine down
child,yeah
parent,i love how you 're playing nicely with the legos
parent,would you please put all the toys away
parent,you handed me the block
parent,i do n't like the way you are acting
child,is this where the green piece goes
parent,yeah that is good
parent,i do n't like how you are playing with the toys
parent,no put them in here
parent,this road we 're building is pretty long
parent,thank you for helping find another one
child,this piece do n't fit
parent,this piece does n't fit even after trying all the places
child,i have the cars
parent,you have the cars
parent,as long as you do n't act sassy today i 'll take you to mcdonald 's on the way home
child,and some green beans
parent,and some green beans
parent,that was a nice way of asking me
parent,the boat has a smokestack and four portholes
child,cows go moo
parent,cows go moo especially when they want to be milked
parent,this is mine not yours
child,is this red or orange
parent,it 's either red or orange
parent,thank you
parent,you are playing calmly with the toys
parent,"we do like to eat pizza dough , don t we"
parent,oh
child,yeah
parent,ok
parent,when is it
parent,here is a red block
parent,should we do green next
parent,that was n't very nice
parent,stop taking my blocks
parent,can you draw me a flower
parent,if you do n't put the cars away now i will not let you play with nintendo today
parent,i think you should use some of those
parent,do you want to play with the blocks
child,yep
parent,yeah
parent,i like how you made your potato head
child,the teacher is going to take us to the zoo
parent,oh you 're going to the zoo
parent,can i play with these blocks
child,yeah it turned into the plane thats what i was talking about
parent,you are going to tie your shoe before you trip
child,uhhuh
parent,why do not use the larger wheel in the front
child,(while pretending with toy animals) we have an emergency the doggy is running away and going in the street
parent,the dog is headed to the street
parent,you 're putting the toys up
child,i like to come here
parent,you like to come here and play
parent,are you making a house
parent,you used the green sticks last time
parent,it 's not very good
parent,why do n't you sit down
parent,i want to draw with you
parent,cool tower
parent,your grandmother loves to see you share like this
child,it s the green one
parent,the green one
parent,it 's terrific
parent,incredible sorting
parent,are you okay
parent,you are driving the green car
parent,dogs do n't have ears like that
parent,you are not playing nicely
parent,purple is my favorite color
parent,oh
child,let 's build an airport
parent,you would like to build an airport
parent,can you make a circle here
parent,what do you think
parent,can i have a turn
parent,fantastic
parent,you ll be able to
parent,the whole family needs to work on this
parent,here s a flipper
parent,you 're pushing the train
parent,good work laying it out
parent,what can i do
parent,can you hand me the red car
parent,the park
parent,hey stop that
parent,you 're good at helping put things away
parent,you have to put you don t have to put the bread in there
parent,quit running around
parent,you are feeding the baby
child,here 's ernie he 's fixing the car
parent,he 's working on the car
parent,are you trying to decide what to do
child,where does this go
parent,put it on top
parent,is there a carwash
child,child laughs
parent,you think that 's funny
parent,would you please clean up
parent,you made me an egg sandwich
child,is it high enough
parent,is it enough
child,i put it here
parent,it goes over here
parent,you 're drawing a tree putting on bark
parent,you 're feeling the kitty 's soft fur
parent,i want you to put them away
parent,hand me the toy
parent,that teddy they have is one of your favorite toys here
child,that man is feeding the chickens
parent,the farmer is feeding the chickens
parent,high five
parent,please put the crayons back
child,look at this wheel
parent,oh
parent,you 're being a good listener today
parent,get down from there
child,"actually , this is the baby that has lipstick on"
parent,that baby has lipstick
parent,what s its name
parent,let 's build a tower and
child,here
parent,you are cutting apples for me
child,"it s the parking lot , so he goes first"
parent,he goes first
parent,looks like a boat your making with the play dough
parent,you 're not doing it right that wo n't work
parent,i like how quickly you picked up
child,just keep trying
parent,just keep trying
child,i'm finished
parent,you did a great job
parent,stop hitting
parent,you 're making that tower tall
parent,how was school today
child,there s one on the floor
parent,there s one on the floor
parent,"oh , you put them in there because that one was too loose"
parent,those are angry eyes on potato head
parent,will you pick up the toys
parent,you 're building a house right
child,but draw the rest of clifford first
parent,you 're making a house
parent,can you put that away
child,i'm mad at you
parent,i'm sorry that you 're mad at me
child,i ca n't do it
parent,you should put the block there
child,and drink
parent,"ah , i m coming to the picnic"
parent,you 're so smart counting all of those animals
parent,you 're pretending to be a doctor now
parent,i like that white one
child,you can do something
parent,i can do something
child,french fries
parent,is that a french fry flavored one
parent,put this one here
parent,thanks for using your manners
parent,you are putting green food on the green plate
child,adam locomotive
parent,that is a red one right
parent,there s a strawberry in this pot
parent,you are drawing
parent,you are making the tower taller
parent,put that lego over here
parent,do you want to go to time out
child,i like ice cream
parent,you like ice cream
parent,there is a banana on your plate
parent,you 're working hard to build that
child,i'm gonna race these guys
parent,you are going to race your cars
child,child knocks over blocks on purpose
parent,you destroy things at home like that all the time
parent,you 're working really hard on drawing the pirate
parent,good minding
child,my tower is higher
parent,i see your tower it is a lot higher
parent,you have a great memory for knowing it 's your cousin 's birthday today
parent,these are cool are n't they
parent,do you think all them blocks will fill up this box
child,i want to play with the babies
parent,the babies are over there
parent,play nicely ok
parent,can you pick up the toys with me
parent,you 're a great artist
parent,now
parent,i am going to move the toys closer so we can share them
child,cause i go inside
parent,you 're looking for a hat for mr potato head
parent,you are good at this game
parent,no we 're not doing that
parent,big boy
parent,draw it like this
parent,start here
child,this truck is fast
parent,it is fast
parent,awesome
parent,i see you are drawing a big bird
parent,that 's not quite right sweetie
child,which car is fastest
parent,you want to know which is fastest
parent,you drew a beautiful horse
parent,i never taught you to talk like that
parent,will you take off her red hat and put on her black hat
parent,you 're a pretty smart cookie
parent,i like the way you made that house
child,this car is red
parent,red
parent,good catch
child,for the baby
parent,turn the dial alright
child,the car is blue
parent,you have a blue car
parent,play nicely
parent,can i get another one
parent,i'm sorry
child,no because the cars are going to eat it
parent,the cars are going to eat it
parent,that 's a lot of blocks
child,i want to color
parent,do you want the blue crayon or the yellow crayon
parent,give me the block
parent,you found a fireman hat
parent,youre going to school
parent,make the tower taller
parent,i like the picture you drew
parent,you 're feeling pleased with yourself
parent,you know all your letters
parent,i want you to add another block
child,i do n't wanna
parent,after we play we can go out for ice cream playing is fun blocks coloring play doh cars are fun
parent,come on and help me build
parent,"yeah , i don t think that one has a splint"
child,i need to use the potty
parent,ok i 'll take you to the potty
parent,so you need to be careful
child,mr potato head is funny
parent,he is funny
parent,awesome job keeping your hands to yourself
parent,that 's a tall tower you made
parent,please hand me a purple marker
parent,let 's sing a song
parent,wait for me
parent,do you really need to act like that
child,team work
parent,team work
parent,do you want to build a house
parent,great
child,i want to build another tower
parent,then you need more blocks
child,look how silly i made my potato head
parent,i love your silly potato head
parent,i like how you kept trying
child,i am going to build a bridge
parent,you have decided to build a bridge
parent,you are singing
parent,this pen does n't work worth a
child,this is a green leaf
parent,it is a green leaf
parent,that was neat
parent,press the button like this
child,the cow says moo
parent,cows do say moo
child,coloring
parent,you colored that purple
child,he has crazy hair
parent,yes crazy hair
parent,roll it out
parent,gesundheit
parent,stop that now
parent,did you hear me
parent,wow that building is tall
parent,you are putting the blue block on the red block
parent,the pieces fit together like this
parent,you drew a pretty flower
child,this present is for koala
parent,i ca n't find mr potato head
child,mommy look at the tower i made
parent,you want me to look at your tower
parent,where do you want me to put the yellow playdough
parent,i do n't like it
child,and another donut
parent,"oh , oh wait"
parent,watch me move my train
parent,stop throwing the crayons
child,i did it by myself
parent,you put on that roof all by yourself
parent,if you do n't stop running around at school i 'll take away tv for a week
parent,do n't put the potato head 's eyes there
parent,you 're sharing
child,i'm going to stand on the chair
parent,i do n't think you should stand on that
parent,you made two stars
parent,we 're gonna play with this one now
parent,that 's one fast train
parent,you are putting away the blocks
parent,are you taking the baby 's temperature
child,nope no way
parent,hey
child,why d you mess
parent,well i had to mess up my food
child,i'm going to play with the
parent,you 've chosen the
parent,you might put the coins in the slot
parent,i'm proud of you for sharing with me
parent,is he the bad guy
child,i want red
parent,you want red again
child,i'm cleaning up fast
parent,i'm happy you 're so fast
child,i want that baby truck
parent,oh let s get the blue one out here
parent,"well , we ll have to wait until we get up for that , okay"
child,the doggy went to teh house to get his mother but his dad came out
parent,that is a good daddy
parent,that is beautiful
parent,but what 's this part
child,child is lining blocks
parent,you lined up the blocks
parent,this dollhouse is attractive
parent,ok
parent,good job coloring inside the lines
child,yep
parent,"well , but then i don t have a pink plate"
parent,"oh , you found a nose and a moustache"
parent,you 're such a good builder
parent,i like how gentle you are being with all of the toys
parent,do n't talk so loudly
child,i'm going to make a cake
parent,you 're making a cake
child,this is red
parent,that is not red
child,kid makes a doll use the toilet
parent,you 're gross
parent,we do n't hit
child,okay
parent,that 's a green apple you are drawing
parent,quit throwing the blocks
parent,will you give me a crayon please
child,i lost a lego at school
parent,you lost a lego at school
parent,what do you want to play
parent,will you hand me the blue block
parent,hmm
parent,i am going to make a pancake
parent,you' re going to pick them up if they fall
parent,well done for putting them away
child,really soon
parent,mmm
child,now all of this is gone
parent,"oh , that disappeared"
parent,do n't be like that
child,the dog is cute
parent,the dog is cute
parent,you put the lion in the house
child,it s really hard
parent,yeah
parent,you are really good at this
child,she threw up today
parent,you know your numbers
parent,awesome choice to start with legos
parent,i wonder how it goes on
child,boing
parent,uh oh
parent,one more hole
parent,do you like mr
parent,do you want to help me clean up
parent,can you hand me the marker
parent,i found the missing piece
parent,you are building a tall tower
parent,i love your drawings
parent,i love how you put the train track together by yourself
parent,there are four green crayons
child,i ll put some spices for my food
parent,ok
child,that look like a porch
parent,you are looking at the picture book
parent,that does n't belong there
parent,we must put the roof on
parent,are you using blue now
parent,that s pretty awesome
child,i made a flower
parent,you did such a great job of drawing that flower it is beautiful
parent,look here
parent,i 'd like to comb your hair
parent,cool idea
child,(child pretends to eat cake) munch munch
parent,munch munch munch
child,i like
parent,you like
child,i like special time
parent,you like special time
child,he sees the house is on fire
parent,the house is on fire
child,i put her red dress on her
parent,oh the red dress
parent,that better
parent,come on really
parent,i think those are peas
parent,which one do you want to play with
child,this one is nemo
parent,yes it is nemo
child,eat that spicy things
parent,"you have spicy french fries , and you have spicy pizza , and"
child,we live in em and watch the show
parent,you have got to
child,(child stacking blocks)
parent,you 're stacking blocks
parent,good job staying in your chair
child,why
parent,it looks like a flower
child,ill be right back
parent,can you
parent,hmmmm
parent,that 's not how it goes
parent,do n't open the other container
parent,what s your favorite color henry
parent,i love how safe you are being
parent,you 're not very good at building
child,this is the mommy doll
parent,that is the mommy
parent,not like that
parent,do you want this
parent,you are flying the plane
parent,that 's a red one right
parent,another hat
parent,will you tell me what time it is
parent,you did a good job and now you can play cars
child,i found a green
parent,a green
child,do n't look at me
parent,ok i wo n't look at you
parent,you made it go down the ramp last time
child,up
parent,you have the blue crayon
parent,what were you making
child,i made mr potato head
parent,you did make mr potato head
child,that grass is going to be green
parent,green
child,i drew a dog
parent,you drew a dog with big ears
parent,nice job cutting safely with the scissors
child,sissy 's a show off
parent,that 's not nice to say
parent,you found the horse
parent,give that back
child,but we need a lot more tea pots
parent,i ve got a little pink tea cup
parent,high five for knowing your numbers
parent,you made me a delicious cake
parent,we 're going to play with this toy now
parent,"well , that s a whole box of trucks , isn t it"
parent,that was a stupid thing to do
parent,what should we do next
parent,i need to pull up my chair
parent,you 're driving to the store
parent,look
parent,look at this one
parent,you added a tile
parent,great helping
parent,please clean these toys up
parent,how many blocks are here
parent,the tinker toys should be picked up now
parent,i 'd like you to finish the picture
parent,your car is so much faster than mine
child,she goes in there
parent,in there
parent,that s right
parent,be careful
parent,you figured out how to put those pieces together
child,potato head
parent,that s our third mr
child,the tank is
parent,i think we just have an ambulance
child,whose turn is it
parent,whose turn is it
parent,thank you for making me this beautiful picture
child,yeah its better
parent,your tower is going to crooked
child,with syrup on it
parent,syrup
parent,put the red block on the blue block
child,look mom an elephant
parent,elephants can grow to be very tall and big
child,the child says he 's done playing
parent,that 's it
parent,you put him to toilet
child,i'm drawing the sun
parent,there are lots of things in the sky
parent,i want you to sit over here by me
parent,thank you for giving me the donut
parent,you are fixing the plane
parent,you 're not being very nice right now
parent,that was a great idea to put the block there
parent,quit throwing the toys
parent,do you got some do you see some long ones like this it s got 1 2 3 4
parent,do n't go in my purse
parent,no this crayon is blue
parent,i like how you put them all that way
child,that 's a funny clown
parent,you think he 's funny
parent,thank you for the block
parent,but you got three
parent,can i try
parent,can i play with your car
parent,you 're a fast writer
parent,you are looking for another piece
child,i do n't like this game
parent,you do like this game
parent,put the blocks away before you play with something else
parent,i love having special time with you
parent,nice
child,this is a strawberry
parent,oh a strawberry
parent,you 're making a sun with long rays on it
parent,thank you for drawing me such a pretty flower
parent,uh oh here comes some baby trucks
child,mine won
parent,yours won
parent,you 're still working on that
parent,give me a block
parent,i like this toy
parent,a silly one
child,yep
parent,yeah
parent,will you settle down if i let you play with the tinker toys
parent,put this here
child,roof off
parent,will you come over here
child,all these trucks get in a race
parent,they re getting ready to race
parent,what are you doing with the toy
parent,you are adding a hat
parent,let me try
parent,we probably should put them in line
parent,you 're so happy with your drawing
child,it 's a jeep
parent,a jeep
parent,you are being a real pill right now
parent,if you put your picture here i can see it better
parent,i need you to help me
parent,so you want to stay out there
child,i'm going to be an astronaut
parent,an astronaut
parent,very nice
parent,say two
parent,you must sit down
parent,you helped your brother
child,an apple flavored cupcake
parent,an apple flavored cupcake
parent,great idea
child,my drawing is nice
parent,it is
parent,make it neater
parent,great job putting the container on the shelf
parent,you have a horsey
parent,you are n't behaving
parent,please give me the car
child,playing with animals
parent,you are making the whale swim by the shore
parent,can you hand me the red crayon
parent,look at what i found
parent,how come
parent,you opened the box of toys
parent,you 're doing right
parent,we 're getting this built
parent,good job with those toys
parent,you like it
parent,i know it 's your favorite color
child,mhm
parent,ooh
parent,you are coloring in the lines
parent,you really liked the circus right
parent,i love you for staying at the table
parent,i wonder if i left the iron on
parent,do you want to keep playing with this
parent,you 're not supposed to talk to me like that
parent,if you do n't stop running around i 'll spank you
parent,thanks for listening to me
child,this is we can go around
parent,mmm
parent,you 're pushing the car down the ramp
parent,i do n't give fuck
parent,put the coins in the slot
child,can i play with these
parent,you can play with those
parent,what feeling do you think she has
parent,i wish they were bigger
parent,if you stop pinching we 'll have more time to play
parent,you are racing the cars fast
parent,please hurry
child,potatoes at my school
parent,oh yeah
parent,just kidding
parent,you 're counting
parent,great job coloring that horse
child,opens play farm door
parent,opened the door
parent,is that his left arm or his right arm
child,i love red and yellow and green and blue and purple
parent,you love lots of colors
child,i putted the blue block on
parent,you put on the blue block
parent,what sound is that the train
parent,when are you going to tell me about your day at school
parent,stop grabbing things
child,and that one
parent,and that one
child,i have the blue block
parent,no thats yellow
parent,you 're lining up lots of cards
parent,you said thank you
child,it didn t get none out
parent,it didn t get any out
child,what 's that
parent,that 's an octopus (insert any animal or shape on a wide variety of coloring sheets)
child,i do n't want to
parent,quit yelling
parent,what are you doing
parent,the next word is stop
parent,this is a chef
parent,that car looks just like the one we have at home
parent,you have a great imagination for storytelling
parent,can you pick those up
child,child cooks with play food
parent,you made a delicious dinner
parent,you 're changing
child,here 's the waffle blocks
parent,would you like to build a house or a school
child,i love legos
parent,you really do love legos
child,ayla can see me
parent,i don t think ayla s here anymore
parent,i will take it out soon
parent,you should push the car slowly
child,we have all picnics have pizza in them
parent,all picnics have pizza
child,getting the playdough out
parent,"oh , you got some playdough stuck in there"
child,five
parent,five
parent,do n't climb on the table
parent,i see that you 're drawing a house
parent,you have a great memory
parent,what are you drawing
parent,good job sitting nicely
parent,do you want to clean up
child,and lot 's of sprinkles
parent,sprinkles too
parent,where is your nose
child,ready set go
parent,go
parent,you built the track so quickly
child,i'm cooking all of this food
parent,you are making a lot of food
parent,you ca n't make me do it
parent,i do n't know where this piece goes
parent,i love how you 're using kind words
parent,look
parent,clean all of this up
parent,you 're coloring
child,we need french fries for that
parent,we need french fries for that
parent,where did that puppy go
parent,do you know where the lion is
parent,you got the one you wanted
child,building a tower
parent,that a ugly tower
child,puts on mr potato head 's nose
parent,good job putting the nose on
child,i big horse
parent,i huge horse
parent,is it red
child,i'm making a boat and a jet ski
parent,you 're making a boat
parent,you did great
parent,if only you made it a little straighter
child,i'm putting blocks over here
parent,you 're putting blue blocks over there
child,but we can still use it
parent,mhmm
parent,i like the spicy
parent,you 're not listening to me
parent,you 're not sure what to do
parent,give me the toy
child,and um and theyre drowning because the cats going in the hole
parent,you must
parent,put the boy in the farm
parent,why would you do it like that
parent,you really worked hard on that picture
child,i don t need that
parent,"no , you don t need that"
parent,here 's another one
parent,you 're acting nicely with the animals
parent,you chose blocks
child,(referring to clinician(s) leaving the room)
parent,you 're wondering where xxx went
parent,i like how you are sharing the crayons with me
child,i could buy pizza
parent,if you stop biting your nails they will be prettier
parent,you 're making very realistic car noises
parent,i want that one
parent,if you put it there i 'll put mine over here
child,it 's a space ship
parent,oh it 's a space ship
parent,good job figuring that out
child,what 's that
parent,that 's a castle
parent,you 're trying to fit it in
parent,you 're going to school
parent,you need to pick up these toys
parent,you are doing a fantastic job keeping our personal space safe
parent,you 're making a car out of those legos
parent,i love your house
parent,it 's even taller this time
child,put it on the other plate
parent,i guess you should
parent,will you start listening to mommy
parent,that 's not a good idea to put that on top it 'll fall
parent,is this my block
parent,good thinking to sort them first
parent,are you making me a sandwich
parent,i love this
parent,good good
parent,okay
child,this is blue
parent,this piece is yellow
child,he s going to the carwash
parent,oh
parent,where did you put that thing
child,i like school
parent,you do like school
parent,do you want to play today
parent,that 's not a very good idea
parent,ok
parent,the crayons go in the box
parent,let 's play with the dolls
child,i'm a big boy
parent,you are a big boy
parent,great job using your words
child,no man a home man home
parent,let us
child,i do n't want to clean up
parent,clean up now all of it
parent,i see you put that on
child,i can watch how far i can throw
parent,you throw very far
parent,great job building the tower
child,this is red and this is orange
parent,they are red and orange
child,this is the lellow' block
parent,say yellow block
parent,whoa
parent,make me a sandwich
parent,you handed me a yellow duck
child,it makes for the bake
parent,alright
parent,let 's make another rectangle
child,"no , i m gonna call this my phone"
parent,"oh , that s your phone , alright"
parent,thank you for sharing that with me
parent,you 're making it high
parent,you put the toy back where it goes
child,i wanna go home
parent,i know you wanna go home
child,the pig is fat
parent,the pig is fat
parent,you'r drawing is sloppy
parent,i like how creative you are
parent,take this chalk and draw a circle
parent,you are good at cutting bananas
child,tickle like a lion
parent,i would like to find it
parent,stop hammering on the mirror
parent,i love when you talk in your inside voice
parent,do it this way
parent,we might have to get another box to fit more trucks
parent,i 'd like you to take the square piece
child,where is the spiderman
parent,you 're asking for spiderman
parent,that 's exciting
child,telling a story about what happened over the weekend and then i fell out of the tree and i cried
parent,you got hurt when you fell out of the tree
parent,let 's put the car here
parent,please hand me the yellow crayon
child,playing a farmer toy
parent,oh who is that
child,on satur saturday he ate through a a piece of pie
parent,the car is moving
parent,you really must sit down
parent,what activity do you want to use
parent,time 's up
parent,you wrote all the numbers up to ten
child,i m gonna call this tea
parent,"ok , that s a good idea"
parent,thank you for coming to play with me
child,they just have to be in here
parent,okay
parent,how about putting the dolls away
parent,do you want to put the bird on the branch
child,i m like opening it right and close
parent,you are opening and closing the gate
parent,do you need to use the bathroom
parent,you broke it
child,zzz
parent,you could
parent,you 're doing a good job cleaning up
parent,you closed the door
parent,this one is red right
parent,the ponies are racing
parent,the red one goes on the green
parent,give me your car
parent,you are making the car go so fast
parent,you made a flower
parent,thank you for picking it up
parent,can this be put back in the box now
parent,can you try that one
parent,it 's almost the weekend
parent,do n't put that on the floor and get it dirty
child,a yellow hat
parent,a yellow hat
parent,clean up clean up everybody everywhere clean up clean up everybody do your share
child,i like playing with these legos
parent,you enjoy these legos
parent,wow this is a really cool toy
child,yeah
parent,fabulous job dressing up the doll
child,i wo n't do it again
parent,i'm glad you understand
parent,do n't put that in your mouth that 's nasty
child,this is the sleeping place
parent,"oh , i see"
child,action child is throwing toys
parent,let 's do something else
child,i found a green crayon
parent,that is green
child,my car goes fast
parent,your car goes very fast
child,"actually , this is the mommy and this is the baby and this is the daddy"
parent,it s just a whole family
parent,will it go in there somewhere
child,is it time to go
parent,you 're wondering if it 's time to go
parent,we have these at home
parent,you have a cow
parent,what color are you going to use for the door
child,pull that
parent,does
parent,there are lots of blocks
parent,you drew an ugly flower and you put it on the wrong side
parent,thanks for making that for me
child,i want a snack
parent,you 're saying you want a snack
parent,are you really going to act like that right now
parent,what do you want me to do
child,i'm drawing a house
parent,it is a house
child,i'm drawing
parent,you 're drawing
child,i drew an animal
parent,you drew an animal
parent,that was an idiotic thing to do
parent,ha ha (sarcastic tone)
parent,you are cleaning up really fast
parent,you aren t letting me out
child,i'm driving the car fast
parent,the car is going very fast
parent,do n't jump off the table
parent,you re putting the other arm
parent,how about a yellow one
parent,good girl
parent,this blue one is my favorite
parent,put it in the box
parent,you 're going to make the window blue
child,i am going to build a tall building
parent,you are going to build a tall building
parent,you 're sitting on the floor
parent,yep there it is
parent,nice job being quiet
parent,if you stay in your seat i 'll read winnie the pooh
parent,what do you want to play with next
parent,you are embarrassing me
parent,yeah
child,no
parent,now we gotta put blocks in the box
child,child coloring sun orange
parent,i like yellow suns
child,the baking needs that you have to stop putting vegetables in it
parent,you have to stop putting vegetables in the baking
parent,you 're digging through the blocks
parent,you put all the cars back
parent,i love playing with you
parent,i'm proud of you for staying in the lines
parent,you have to call your grandmother on saturday
parent,how many animals do you have
parent,are you building a castle
parent,i am building a house
child,i got a bullseye
parent,you sure did get the bullseye
child,vroom vroom says the car
parent,vroom vroom
child,this car is my favorite
parent,you really like that car
child,where s the police car
parent,uh
child,it 's really tall
parent,really tall
parent,do you like those cars
parent,you re looking for some eyes
child,duckie
parent,you messed up the whole thing
child,for both of us
parent,"oh , we get to share"
child,i should have one
parent,you are calling the dolly jessica
parent,what s that
parent,you want to play blocks
parent,you 're coloring the bunny pink
child,i drew a man
parent,i'm going to draw a hat on him
child,i have all the crayons
parent,please hand me a blue one
parent,you 're not using the long ones for this fort
child,i 've got an orange
parent,that 's not an orange
child,i need to color this part
parent,you think you should color that part
parent,you are being so nice to your sister
parent,please put the cow by the horse
child,yeah
parent,i forget what his name is
child,vroom
parent,vroom
parent,this is the playroom
child,oh
parent,the mr potato head is nice
child,the gators won
parent,that makes me so happy
parent,that was nice to say
parent,thank you for handing me the box
parent,i'm going to start coloring
parent,see anymore little baby ones
parent,i wonder what 's for lunch
parent,you 're making the trains go on the tracks
parent,green is my favorite color
parent,but it is a really good picture
parent,whatcha got there
parent,i think you should put it away
parent,you better mind
parent,you dress up the doll
child,i think the silver is car is gonna drink all of
parent,ooh
parent,do you know what this letter is called
parent,you took turns
child,i got to go potty
parent,you got to go potty
child,frosted cookie
parent,frosted cookies
parent,this car is red
parent,and shut up
parent,you 're driving fast are n't you
parent,remember when we went to the farm
parent,you picked up the toy
child,"oh , great"
parent,"oh , great"
child,ball
parent,yes ball
child,"yeah , cuz he s done"
parent,ok
parent,you 're putting the green block on
child,beep beep
parent,beep beep
parent,great job staying in your chair today
parent,where does this one go
child,yeah
parent,that s pretty high
parent,is n't red your favorite color
parent,violet that looks so fantastic
parent,putting everything back in the box
parent,can you sit
parent,repeating counting
parent,tomorrow we can go to the pool
child,yeah
parent,huh
parent,i want to play with the blocks
parent,it 's fun to play with you
parent,you grabbed a different block
parent,let me do it
parent,you 're being ugly
parent,the tower you 're building is getting tall
child,mrs brown said we 're hicks
parent,where does she get off
parent,apologize or you 'll have to sit on the step
child,yellow ones
parent,you can color it purple
child,no the biggest truck on in great wolf lodge
parent,oh
parent,do you know what this is called
parent,tell her thank you
parent,i have a bear
parent,would you get down
parent,you are putting the toys away quietly
parent,will you try and color it red
parent,quit running
parent,you are n't being nice
child,i like potatoes
parent,potatoes are good
parent,what do you want for dinner
parent,sit down with me
parent,what is that man 's name
parent,ketchup
child,what time is it
parent,you want to know what time it is
child,put the chimney on next
parent,i 'll do it when i'm good and ready
child,well
parent,i m just gonna to put these back so we can make that picnic that you wanted
parent,yes you did it
child,"uh , i think that goes on a different one"
parent,"oh , you think that one goes on a different one"
parent,there you go
parent,thanks for picking up
parent,let 's play with the dolls now
child,playing with cars
parent,do you want to play with the dolls
child,apple
parent,stay here
parent,you know your colors what color is this
parent,children should n't yell when they 're inside
parent,there are five cars
parent,quiet
parent,you 're daddy 's little helper for bringing me the box
parent,i'm going to make a sandwich for you
child,try
parent,thank you for cleaning up
parent,honey honey honey come over here
child,i like spider man
parent,you like spider man
parent,okay
child,i have a crayon
parent,you have a crayon
parent,you 're not acting like a good boy girl
child,tomorrow is a holiday
parent,tomorrow you have to visit grandma
parent,i like how you are sitting and using an indoor voice
parent,set it down
child,writes name correctly
parent,yay that 's great
parent,good job picking up the toys
parent,do n't talk to me like that young man
parent,good job knowing your letters
child,you left the picnic box at home
parent,that was a stupid thing to do was n't it
parent,that picture is horrid
parent,no it 's my turn
child,i'm making a tall tall tower
parent,oh a tower
child,i don t want to clean the table up
parent,we gotta pick up is something all over it
child,right now
parent,right now
parent,you put the red one on top
child,i'm coloring a flower
parent,how many petals does it have
parent,you 're doing such a great taking your time putting the pieces together
child,can we go to wendy 's tonight
parent,are you kidding
child,i want a hamburger
parent,no we 'll eat dinner when we get home
parent,you 're playing so gently with mr potato head
child,she wants to play now
parent,no she does n't want to play
child,look mom a shark
parent,shark
parent,thank you for handing me the crayon
parent,tell me what letter this is
child,i just like to help
parent,you are a great helper
parent,you picked up the car
parent,you closed the box
parent,do n't throw that at me
parent,i want you to put the block on the top
parent,that 's amazing how you stacked those up
parent,how straight you drew it
parent,she 's really mixing it
parent,where are your manners
parent,good job putting all the blocks in the bin
parent,let s get it awww
parent,this rocket ship sure can fly high
child,yeah
parent,you are sitting with me
child,i have two cars
parent,you have two cars
parent,find the word see
parent,what 's the name of this animal
child,yes
parent,alright
parent,super searching
child,a dinosaur
parent,it is a dinosaur
parent,i like this one
parent,how about we put a pretzel flavored cupcake
parent,i'm so glad that you 're playing with me
child,catch the ball
parent,you want me to catch the ball
child,well well take care of it
parent,children should not yell when they are inside
child,i ll take this one
parent,you ll take spaghetti
parent,can i play too
parent,you want to cover it
parent,you 're getting better at coloring in the lines
parent,come look at my tower
parent,no climbing
parent,my monster truck
parent,you 're writing letters
parent,where do you see any
parent,i m
child,al rl dl sl done
parent,if you quit making that noise i will play any game you want
child,yeah
parent,yeah
parent,i like how you set up your farm
parent,can you help me clean up
parent,is this one for mommy
